name,y_max,eps,cross,obs,soft,terminal,resid,MAE1,MAE2,RMSE1,RMSE2,joint_cover,joint_viol,target_cover,qp_rate,soft_rate,uncert_rate,primary_fail,soft_ok,uncert,soft_success_given_fail,soft_step_viol,uncert_step_viol,active_rate,left_err
P0_stress_no_soft,0.5500,t2,0,declared_shape,0,0,0,0.538263,0.498094,0.737338,0.613871,0.962500,0.037500,0.9000,0.405000,0.000000,0.595000,476,0,476,0.000000,NaN,0.063025,1.000000,0.000e+00
P0_stress_with_soft,0.5500,t2,0,declared_shape,1,0,0,0.410968,0.323437,0.548355,0.401814,0.997500,0.002500,0.9000,0.402500,0.597500,0.000000,478,478,0,1.000000,0.004184,NaN,1.000000,0.000e+00
P0_stress_soft_plus_cross,0.5500,t2,1,declared_shape,1,0,0,0.594880,0.425899,0.707059,0.506906,1.000000,0.000000,0.9000,0.063750,0.936250,0.000000,749,749,0,1.000000,0.000000,NaN,1.000000,0.000e+00
P1_eps_t2,2.0000,t2,0,declared_shape,0,0,0,0.059299,0.057583,0.079446,0.082397,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.146154,0.000e+00
P1_eps_ml,2.0000,ml,0,declared_shape,0,0,0,0.059299,0.057583,0.079446,0.082397,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.133846,0.000e+00
P1_eps_ols,2.0000,ols,0,declared_shape,0,0,0,0.059299,0.057583,0.079446,0.082397,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.240000,0.000e+00
P1_obs_declared_shape,2.0000,t2,0,declared_shape,0,0,0,0.055353,0.055384,0.075659,0.079690,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.190769,0.000e+00
P1_obs_residual_support,2.0000,t2,0,residual_support,0,0,0,0.055353,0.055384,0.075659,0.079690,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.181538,0.000e+00
P1_obs_additive,2.0000,t2,0,additive,0,0,0,0.055353,0.055384,0.075659,0.079690,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.186154,0.000e+00
P2_cross_off,2.0000,t2,0,declared_shape,0,0,0,0.061032,0.057037,0.082656,0.079666,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.167692,0.000e+00
P2_cross_on,2.0000,t2,1,declared_shape,0,0,0,0.061032,0.057037,0.082657,0.079666,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.232308,0.000e+00
P2_resid_off,2.0000,t2,0,declared_shape,0,0,0,0.059942,0.058480,0.081275,0.083713,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.218462,0.000e+00
P2_resid_on,2.0000,t2,0,declared_shape,0,0,1,0.059916,0.058472,0.081245,0.083692,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.218462,0.000e+00
REF_AB_like,2.0000,t2,0,declared_shape,0,0,0,0.060489,0.059523,0.081321,0.084216,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.167692,0.000e+00
REF_AC_like,2.0000,ols,1,additive,1,1,1,0.060475,0.059516,0.081304,0.084197,1.000000,0.000000,0.9000,1.000000,0.000000,0.000000,0,0,0,0.000000,NaN,NaN,0.336923,0.000e+00
