name,seed,y_max,eps,obs,soft_on,cover,viol,target,MAE1,MAE2,qp_rate,soft_rate,uncert_rate,primary_fail,soft_ok,uncert,soft_success_given_fail,n_risk,n_short,n_bound,soft_step_viol,uncert_step_viol
P0_no_soft_s71001,71001,0.550,t2,declared_shape,0,0.985000,0.015000,0.900,0.558893,0.413364,0.415000,0.000000,0.585000,351,0,351,0.000000,0,0,0,NaN,0.025641
P0_soft_s71001,71001,0.550,t2,declared_shape,1,0.996667,0.003333,0.900,0.411091,0.326219,0.413333,0.586667,0.000000,352,352,0,1.000000,63,289,0,0.005682,NaN
P0_no_soft_s71002,71002,0.550,t2,declared_shape,0,0.983333,0.016667,0.900,0.570586,0.442634,0.391667,0.000000,0.608333,365,0,365,0.000000,0,0,0,NaN,0.024658
P0_soft_s71002,71002,0.550,t2,declared_shape,1,0.995000,0.005000,0.900,0.410859,0.345730,0.390000,0.610000,0.000000,366,366,0,1.000000,83,283,0,0.005464,NaN
P0_no_soft_s71003,71003,0.550,t2,declared_shape,0,0.961667,0.038333,0.900,0.576072,0.390859,0.450000,0.000000,0.550000,330,0,330,0.000000,0,0,0,NaN,0.066667
P0_soft_s71003,71003,0.550,t2,declared_shape,1,0.998333,0.001667,0.900,0.418677,0.323624,0.450000,0.550000,0.000000,330,330,0,1.000000,37,293,0,0.000000,NaN
P0_no_soft_s71004,71004,0.550,t2,declared_shape,0,0.938333,0.061667,0.900,0.526464,0.408039,0.406667,0.000000,0.593333,356,0,356,0.000000,0,0,0,NaN,0.103933
P0_soft_s71004,71004,0.550,t2,declared_shape,1,0.998333,0.001667,0.900,0.413636,0.328263,0.406667,0.593333,0.000000,356,356,0,1.000000,73,283,0,0.002809,NaN
P0_no_soft_s71005,71005,0.550,t2,declared_shape,0,0.941667,0.058333,0.900,0.494960,0.421209,0.403333,0.000000,0.596667,358,0,358,0.000000,0,0,0,NaN,0.097765
P0_soft_s71005,71005,0.550,t2,declared_shape,1,0.991667,0.008333,0.900,0.416016,0.325065,0.403333,0.596667,0.000000,358,358,0,1.000000,44,314,0,0.013966,NaN
P1_eps_t2_y0.80,82080,0.800,t2,declared_shape,1,1.000000,0.000000,0.900,0.277668,0.190826,0.663333,0.336667,0.000000,202,202,0,1.000000,141,61,0,0.000000,NaN
P1_eps_ml_y0.80,82080,0.800,ml,declared_shape,1,1.000000,0.000000,0.900,0.277552,0.190051,0.675000,0.325000,0.000000,195,195,0,1.000000,141,54,0,0.000000,NaN
P1_eps_ols_y0.80,82080,0.800,ols,declared_shape,1,1.000000,0.000000,0.900,0.279358,0.195266,0.561667,0.438333,0.000000,263,263,0,1.000000,131,132,0,0.000000,NaN
P1_eps_t2_y0.65,82065,0.650,t2,declared_shape,1,0.996667,0.003333,0.900,0.346189,0.272165,0.485000,0.515000,0.000000,309,309,0,1.000000,134,175,0,0.003236,NaN
P1_eps_ml_y0.65,82065,0.650,ml,declared_shape,1,0.996667,0.003333,0.900,0.345314,0.271351,0.490000,0.510000,0.000000,306,306,0,1.000000,136,170,0,0.003268,NaN
P1_eps_ols_y0.65,82065,0.650,ols,declared_shape,1,0.996667,0.003333,0.900,0.352906,0.278603,0.440000,0.560000,0.000000,336,336,0,1.000000,60,276,0,0.002976,NaN
P1_eps_t2_y0.55,82055,0.550,t2,declared_shape,1,0.998333,0.001667,0.900,0.417666,0.341848,0.445000,0.555000,0.000000,333,333,0,1.000000,57,276,0,0.003003,NaN
P1_eps_ml_y0.55,82055,0.550,ml,declared_shape,1,0.998333,0.001667,0.900,0.416410,0.340803,0.448333,0.551667,0.000000,331,331,0,1.000000,61,270,0,0.003021,NaN
P1_eps_ols_y0.55,82055,0.550,ols,declared_shape,1,1.000000,0.000000,0.900,0.427959,0.352187,0.386667,0.613333,0.000000,368,368,0,1.000000,42,326,0,0.000000,NaN
P1_obs_declared_shape_y0.65,83065,0.650,t2,declared_shape,1,0.998333,0.001667,0.900,0.342229,0.263544,0.486667,0.513333,0.000000,308,308,0,1.000000,119,189,0,0.003247,NaN
P1_obs_residual_support_y0.65,83065,0.650,t2,residual_support,1,0.993333,0.006667,0.900,0.321716,0.239761,0.501667,0.498333,0.000000,299,299,0,1.000000,137,162,0,0.010033,NaN
P1_obs_additive_y0.65,83065,0.650,t2,additive,1,0.995000,0.005000,0.900,0.334582,0.255895,0.495000,0.505000,0.000000,303,303,0,1.000000,135,168,0,0.009901,NaN
