name,seed,y_max,eps,obs,term,cover,viol,MAE1,MAE2,soft_rate,uncert_rate,primary_fail,soft_ok,n_risk,n_short,n_bound,soft_step_viol
OP9_term_OFF,91001,0.700,t2,declared_shape,0,1.000000,0.000000,0.320370,0.241470,0.334000,0.000000,167,167,54,113,0,0.000000
OP9_term_ON,91001,0.700,t2,declared_shape,1,1.000000,0.000000,0.320953,0.242403,0.334000,0.000000,167,167,54,113,0,0.000000
P1pp_eps_t2_y0.50_s92001,92001,0.500,t2,declared_shape,0,0.996000,0.004000,0.448835,0.368513,0.496000,0.000000,248,248,71,177,0,0.008065
P1pp_eps_t2_y0.50_s92002,92002,0.500,t2,declared_shape,0,0.994000,0.006000,0.449173,0.361678,0.588000,0.000000,294,294,44,250,0,0.010204
P1pp_eps_t2_y0.50_s92003,92003,0.500,t2,declared_shape,0,0.994000,0.006000,0.456146,0.366157,0.600000,0.000000,300,300,85,215,0,0.010000
P1pp_eps_t2_y0.50_s92004,92004,0.500,t2,declared_shape,0,0.996000,0.004000,0.459359,0.360458,0.620000,0.000000,310,310,50,260,0,0.006452
P1pp_eps_t2_y0.50_s92005,92005,0.500,t2,declared_shape,0,0.998000,0.002000,0.450499,0.363472,0.574000,0.000000,287,287,92,195,0,0.003484
P1pp_eps_ml_y0.50_s92001,92001,0.500,ml,declared_shape,0,0.996000,0.004000,0.447648,0.367371,0.488000,0.000000,244,244,69,175,0,0.008197
P1pp_eps_ml_y0.50_s92002,92002,0.500,ml,declared_shape,0,0.994000,0.006000,0.448053,0.360571,0.576000,0.000000,288,288,46,242,0,0.010417
P1pp_eps_ml_y0.50_s92003,92003,0.500,ml,declared_shape,0,0.994000,0.006000,0.454963,0.365128,0.594000,0.000000,297,297,90,207,0,0.010101
P1pp_eps_ml_y0.50_s92004,92004,0.500,ml,declared_shape,0,0.994000,0.006000,0.457810,0.359117,0.614000,0.000000,307,307,49,258,0,0.009772
P1pp_eps_ml_y0.50_s92005,92005,0.500,ml,declared_shape,0,0.998000,0.002000,0.449442,0.362599,0.564000,0.000000,282,282,96,186,0,0.003546
P1pp_eps_ols_y0.50_s92001,92001,0.500,ols,declared_shape,0,1.000000,0.000000,0.457892,0.376715,0.634000,0.000000,317,317,99,218,0,0.000000
P1pp_eps_ols_y0.50_s92002,92002,0.500,ols,declared_shape,0,0.994000,0.006000,0.460754,0.373313,0.610000,0.000000,305,305,35,270,0,0.009836
P1pp_eps_ols_y0.50_s92003,92003,0.500,ols,declared_shape,0,0.994000,0.006000,0.466533,0.376863,0.672000,0.000000,336,336,83,253,0,0.008929
P1pp_eps_ols_y0.50_s92004,92004,0.500,ols,declared_shape,0,0.998000,0.002000,0.472149,0.372193,0.756000,0.000000,378,378,78,300,0,0.002646
P1pp_eps_ols_y0.50_s92005,92005,0.500,ols,declared_shape,0,0.998000,0.002000,0.460456,0.372293,0.614000,0.000000,307,307,43,264,0,0.003257
P1pp_eps_t2_y0.45_s92001,92001,0.450,t2,declared_shape,0,0.996000,0.004000,0.482704,0.406936,0.626000,0.000000,313,313,93,220,0,0.006390
P1pp_eps_t2_y0.45_s92002,92002,0.450,t2,declared_shape,0,0.994000,0.006000,0.485534,0.404955,0.610000,0.000000,305,305,35,270,0,0.009836
P1pp_eps_t2_y0.45_s92003,92003,0.450,t2,declared_shape,0,0.992000,0.008000,0.490512,0.408922,0.666000,0.000000,333,333,81,252,0,0.012012
P1pp_eps_t2_y0.45_s92004,92004,0.450,t2,declared_shape,0,0.996000,0.004000,0.495808,0.403298,0.734000,0.000000,367,367,72,295,0,0.005450
P1pp_eps_t2_y0.45_s92005,92005,0.450,t2,declared_shape,0,0.998000,0.002000,0.485119,0.403199,0.602000,0.000000,301,301,40,261,0,0.003322
P1pp_eps_ml_y0.45_s92001,92001,0.450,ml,declared_shape,0,0.996000,0.004000,0.481692,0.405910,0.624000,0.000000,312,312,96,216,0,0.006410
P1pp_eps_ml_y0.45_s92002,92002,0.450,ml,declared_shape,0,0.994000,0.006000,0.484149,0.403492,0.602000,0.000000,301,301,34,267,0,0.009967
P1pp_eps_ml_y0.45_s92003,92003,0.450,ml,declared_shape,0,0.992000,0.008000,0.489113,0.407460,0.658000,0.000000,329,329,79,250,0,0.012158
P1pp_eps_ml_y0.45_s92004,92004,0.450,ml,declared_shape,0,0.994000,0.006000,0.494239,0.401830,0.720000,0.000000,360,360,68,292,0,0.008333
P1pp_eps_ml_y0.45_s92005,92005,0.450,ml,declared_shape,0,0.998000,0.002000,0.483736,0.401733,0.600000,0.000000,300,300,39,261,0,0.003333
P1pp_eps_ols_y0.45_s92001,92001,0.450,ols,declared_shape,0,0.998000,0.002000,0.491972,0.414431,0.664000,0.000000,332,332,87,244,1,0.003012
P1pp_eps_ols_y0.45_s92002,92002,0.450,ols,declared_shape,0,0.994000,0.006000,0.497253,0.416902,0.664000,0.000000,332,332,38,294,0,0.009036
P1pp_eps_ols_y0.45_s92003,92003,0.450,ols,declared_shape,0,0.980000,0.020000,0.486179,0.415802,0.758000,0.000000,379,379,78,294,7,0.026385
P1pp_eps_ols_y0.45_s92004,92004,0.450,ols,declared_shape,0,0.970000,0.030000,0.497441,0.390596,0.804000,0.000000,402,402,80,308,14,0.037313
P1pp_eps_ols_y0.45_s92005,92005,0.450,ols,declared_shape,0,0.998000,0.002000,0.496580,0.415197,0.646000,0.000000,323,323,34,289,0,0.003096
P1pp_obs_declared_shape_y0.50_s92001,92001,0.500,t2,declared_shape,0,0.996000,0.004000,0.448835,0.368513,0.496000,0.000000,248,248,71,177,0,0.008065
P1pp_obs_declared_shape_y0.50_s92002,92002,0.500,t2,declared_shape,0,0.994000,0.006000,0.449173,0.361678,0.588000,0.000000,294,294,44,250,0,0.010204
P1pp_obs_declared_shape_y0.50_s92003,92003,0.500,t2,declared_shape,0,0.994000,0.006000,0.456146,0.366157,0.600000,0.000000,300,300,85,215,0,0.010000
P1pp_obs_declared_shape_y0.50_s92004,92004,0.500,t2,declared_shape,0,0.996000,0.004000,0.459359,0.360458,0.620000,0.000000,310,310,50,260,0,0.006452
P1pp_obs_declared_shape_y0.50_s92005,92005,0.500,t2,declared_shape,0,0.998000,0.002000,0.450499,0.363472,0.574000,0.000000,287,287,92,195,0,0.003484
P1pp_obs_residual_support_y0.50_s92001,92001,0.500,t2,residual_support,0,0.988000,0.012000,0.428124,0.345891,0.470000,0.000000,235,235,66,169,0,0.021277
P1pp_obs_residual_support_y0.50_s92002,92002,0.500,t2,residual_support,0,0.982000,0.018000,0.427648,0.335654,0.558000,0.000000,279,279,41,238,0,0.028674
P1pp_obs_residual_support_y0.50_s92003,92003,0.500,t2,residual_support,0,0.980000,0.020000,0.434844,0.339809,0.576000,0.000000,288,288,83,205,0,0.024306
P1pp_obs_residual_support_y0.50_s92004,92004,0.500,t2,residual_support,0,0.984000,0.016000,0.439289,0.334235,0.614000,0.000000,307,307,55,252,0,0.019544
P1pp_obs_residual_support_y0.50_s92005,92005,0.500,t2,residual_support,0,0.996000,0.004000,0.429533,0.339084,0.554000,0.000000,277,277,101,176,0,0.007220
P1pp_obs_additive_y0.50_s92001,92001,0.500,t2,additive,0,0.992000,0.008000,0.440555,0.364320,0.486000,0.000000,243,243,69,174,0,0.016461
