name,seed,mode,y_max,cover,viol,MAE1,MAE2,primary_fail,orig_cert_rate,uncert_rate,soft_rel_rate,orig_rec_rate,n_soft_rel,n_orig_rec,n_unc,n_short,n_onestep,n_prev,n_umean,orig_success_given_fail,soft_also_orig_rate
AG_none_s93001,93001,none,0.550,0.982000,0.018000,0.550788,0.384259,219,0.562000,0.438000,0.000000,0.000000,0,0,219,0,0,0,0,0.000000,0.000000
AG_none_s93002,93002,none,0.550,0.986000,0.014000,0.580044,0.438190,246,0.508000,0.492000,0.000000,0.000000,0,0,246,0,0,0,0,0.000000,0.000000
AG_none_s93003,93003,none,0.550,0.916000,0.084000,0.541899,0.390332,256,0.488000,0.512000,0.000000,0.000000,0,0,256,0,0,0,0,0.000000,0.000000
AG_none_s93004,93004,none,0.550,0.946000,0.054000,0.539981,0.445478,257,0.486000,0.514000,0.000000,0.000000,0,0,257,0,0,0,0,0.000000,0.000000
AG_none_s93005,93005,none,0.550,0.988000,0.012000,0.580428,0.431813,223,0.554000,0.446000,0.000000,0.000000,0,0,223,0,0,0,0,0.000000,0.000000
AG_soft_relaxed_s93001,93001,soft_relaxed,0.550,0.998000,0.002000,0.417803,0.329782,219,0.562000,0.000000,0.438000,0.000000,219,0,0,0,0,0,0,0.000000,0.000000
AG_soft_relaxed_s93002,93002,soft_relaxed,0.550,0.996000,0.004000,0.416643,0.327821,246,0.508000,0.000000,0.492000,0.000000,246,0,0,0,0,0,0,0.000000,0.000000
AG_soft_relaxed_s93003,93003,soft_relaxed,0.550,0.992000,0.008000,0.409684,0.329602,256,0.488000,0.000000,0.512000,0.000000,256,0,0,0,0,0,0,0.000000,0.000000
AG_soft_relaxed_s93004,93004,soft_relaxed,0.550,0.998000,0.002000,0.407513,0.321184,257,0.486000,0.000000,0.514000,0.000000,257,0,0,0,0,0,0,0.000000,0.000000
AG_soft_relaxed_s93005,93005,soft_relaxed,0.550,0.996000,0.004000,0.431260,0.327736,223,0.554000,0.000000,0.446000,0.000000,223,0,0,0,0,0,0,0.000000,0.000000
AG_original_alpha_s93001,93001,original_alpha,0.550,0.982000,0.018000,0.550788,0.384259,219,0.562000,0.438000,0.000000,0.000000,0,0,219,0,0,0,0,0.000000,0.000000
AG_original_alpha_s93002,93002,original_alpha,0.550,0.986000,0.014000,0.580044,0.438190,246,0.508000,0.492000,0.000000,0.000000,0,0,246,0,0,0,0,0.000000,0.000000
AG_original_alpha_s93003,93003,original_alpha,0.550,0.916000,0.084000,0.541899,0.390332,256,0.488000,0.512000,0.000000,0.000000,0,0,256,0,0,0,0,0.000000,0.000000
AG_original_alpha_s93004,93004,original_alpha,0.550,0.946000,0.054000,0.539981,0.445478,257,0.486000,0.514000,0.000000,0.000000,0,0,257,0,0,0,0,0.000000,0.000000
AG_original_alpha_s93005,93005,original_alpha,0.550,0.988000,0.012000,0.580428,0.431813,223,0.554000,0.446000,0.000000,0.000000,0,0,223,0,0,0,0,0.000000,0.000000
