name,seed,mode,cover,MAE1,MAE2,pf,orig_cert_rate,uncert_rate,orig_rec,soft_rel,succ_given_fail,soft_also_orig,n_short,n_one,n_feas,n_redQ,n_prev,n_umean
AH_none_s94001,94001,none,0.994000,0.586176,0.446971,253,0.494000,0.506000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_none_s94002,94002,none,0.986000,0.660033,0.453214,274,0.452000,0.548000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_none_s94003,94003,none,0.976000,0.589362,0.434655,258,0.484000,0.516000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_none_s94004,94004,none,0.996000,0.609971,0.413010,271,0.458000,0.542000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_none_s94005,94005,none,0.972000,0.571935,0.403468,253,0.494000,0.506000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_soft_relaxed_s94001,94001,soft_relaxed,0.998000,0.408698,0.327660,253,0.494000,0.000000,0,253,0.000000,0.000000,0,0,0,0,0,0
AH_soft_relaxed_s94002,94002,soft_relaxed,0.998000,0.422824,0.341445,272,0.456000,0.000000,0,272,0.000000,0.000000,0,0,0,0,0,0
AH_soft_relaxed_s94003,94003,soft_relaxed,0.998000,0.416078,0.331263,259,0.482000,0.000000,0,259,0.000000,0.000000,0,0,0,0,0,0
AH_soft_relaxed_s94004,94004,soft_relaxed,0.994000,0.418749,0.330506,271,0.458000,0.000000,0,271,0.000000,0.000000,0,0,0,0,0,0
AH_soft_relaxed_s94005,94005,soft_relaxed,1.000000,0.418321,0.325204,252,0.496000,0.000000,0,252,0.000000,0.000000,0,0,0,0,0,0
AH_original_alpha_multistep_s94001,94001,original_alpha_multistep,0.994000,0.586176,0.446971,253,0.494000,0.506000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_original_alpha_multistep_s94002,94002,original_alpha_multistep,0.986000,0.660033,0.453214,274,0.452000,0.548000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_original_alpha_multistep_s94003,94003,original_alpha_multistep,0.976000,0.589362,0.434655,258,0.484000,0.516000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_original_alpha_multistep_s94004,94004,original_alpha_multistep,0.996000,0.609971,0.413010,271,0.458000,0.542000,0,0,0.000000,0.000000,0,0,0,0,0,0
AH_original_alpha_multistep_s94005,94005,original_alpha_multistep,0.972000,0.571935,0.403468,253,0.494000,0.506000,0,0,0.000000,0.000000,0,0,0,0,0,0
