method,mae_y1,mae_y2,rmse_y1,rmse_y2,prediction_rmse,reconstruction_residual,coverage_error,dual_error,avg_cost,qp_success,fallbacks,reidentify_count,upper_viol_y1,upper_viol_y2,abs_viol_y1,abs_viol_y2,u_rms_1,u_rms_2,u_rms_3,max_constraint
H,0.357739863915,0.194632975297,0.564977610261,0.266320938873,0.222683574202,0.118976544904,0,1.34418032686e-15,324.750992205,0.8225,213,4,0.00583333333333,0.055,0.00583333333333,0.055,0.220628299624,0.975399212829,0.787667888433,-6.66133814775e-16
K,0.0905432009109,0.0963615483468,0.129981668656,0.136762601304,0.0986520249996,0.118976544904,0,1.34418032686e-15,182.993969747,1,0,4,0,0,0,0,0.245156604049,0.514626396199,0.298820564395,-5.55111512313e-16
O,0.968479100397,1.12314484377,1.15048982341,1.21109696533,0.284180780226,0.352396691117,1.90377187602,9.88946895317e-16,2103.06781585,0.13,1044,0,0,0,0,0,0.294931053106,0.423692394377,0.660638126664,1.06199899985e-08
P,0.0769784771591,0.0787734262934,0.108224227728,0.108619801048,0.0947711652345,0.0610413066062,1.29949571594,2.61684703395e-15,74.7492115143,1,0,0,0,0,0,0,0.245352879892,0.512551580798,0.322872524318,2.22044604925e-16
Q,0.0916757257442,0.0947029275567,0.133529048876,0.134705845315,0.0994652631086,0.118976544904,0,1.34418032686e-15,101.55108429,1,0,0,0,0,0,0,0.245504719261,0.513869887459,0.30796676648,4.15670102505e-13
R,0.445132491286,0.731954919786,0.613640110089,0.982135431881,0.147255295149,0.26221598669,1.63271673869,8.00936817685e-15,908.033738781,0.439166666667,673,0,0,0,0,0,0.252301842823,0.508017485621,0.327732354506,1.75663028568e-09
S,0.0806582087478,0.0800870899284,0.111522729232,0.113024459695,0.0990360379619,0.118976544904,0,1.34418032686e-15,51.2777630378,1,0,40,0.00166666666667,0.000833333333333,0.00166666666667,0.000833333333333,0.252921343516,0.526084219196,0.315892956618,-1.11022302463e-16
T,0.0916757257442,0.0947029275567,0.133529048876,0.134705845315,0.0994652631086,0.118976544904,0,1.34418032686e-15,101.55108429,1,0,0,0,0,0,0,0.245504719261,0.513869887459,0.30796676648,4.15670102505e-13
U,0.0912428466297,0.0949219760543,0.132651969678,0.134768992469,0.104308585185,0.11029502107,0,1.60016953481e-15,102.524458806,1,0,0,0,0,0,0,0.246427283332,0.517474997178,0.30480563321,4.13225009765e-13
V,0.0916757257442,0.0947029275567,0.133529048876,0.134705845315,0.0994652631086,0.118976544904,0,1.34418032686e-15,101.55108429,1,0,0,0,0,0,0,0.245504719261,0.513869887459,0.30796676648,4.15670102505e-13
X,0.0925752071768,0.0947399283763,0.134806431671,0.134793543443,0.0995865308122,0.11908763452,1.02500222981e-14,1.04041379977e-14,103.313314235,1,0,0,0,0,0,0,0.248104605716,0.514580339438,0.31090918414,1.23858735768e-12
Y,0.0925752071768,0.0947399283763,0.134806431671,0.134793543443,0.0995865308122,0.11908763452,1.02500222981e-14,1.04041379977e-14,103.313314235,1,0,0,0,0,0,0,0.248104605716,0.514580339438,0.31090918414,1.23858735768e-12
Z,0.445132491286,0.731954919786,0.613640110089,0.982135431881,0.147255295149,0.26221598669,1.63271673869,8.00936817685e-15,908.033738781,0.439166666667,673,0,0,0,0,0,0.252301842823,0.508017485621,0.327732354506,1.75663028568e-09
